transaction_id,quantity,unit_price,currency,trade_time,notes,from_Users_user_id,to_Users_user_id,Fractions_fraction_id,Fractions_Assets_asset_id
34,1,159.31,EUR,2025-08-05 13:22:17,,761,90,702515,71
35,1,102.70,AUD,2025-08-06 18:49:17,,103,762,708072,71
36,1,440.62,CNY,2025-08-24 23:05:17,,934,671,982787,99
37,1,237.74,JPY,2025-07-05 15:20:17,,565,544,528144,53
38,1,404.98,AUD,2025-07-18 00:03:17,,245,989,78945,8
39,1,394.11,USD,2025-07-29 14:53:17,,622,990,100251,11
40,1,159.08,CNY,2025-06-14 19:34:17,,546,402,240766,25
41,1,341.71,CNY,2025-08-21 21:18:17,,545,998,154458,16
42,1,269.30,JPY,2025-08-20 03:28:17,,150,57,297413,30
43,1,111.18,JPY,2025-06-12 14:21:17,,385,922,391455,40
44,1,203.33,AUD,2025-05-04 06:18:17,World station option our best night fast do us election.,707,789,450047,46
45,1,62.62,CNY,2025-08-20 11:32:17,,688,579,982847,99
46,1,300.30,JPY,2025-08-27 20:22:17,,51,715,78902,8
47,1,334.71,AUD,2025-05-17 20:15:17,,393,754,114934,12
48,1,276.47,JPY,2025-06-24 13:07:17,,143,637,75666,8
49,1,289.96,EUR,2025-08-25 03:38:17,,505,876,671244,68
50,1,92.90,EUR,2025-06-04 03:06:17,,12,123,2760,1
51,1,435.80,EUR,2025-06-09 21:39:17,,5,123,272897,28
52,1,431.72,JPY,2025-05-29 16:30:17,,738,324,280234,29
53,1,416.28,JPY,2025-06-26 08:30:17,,52,110,256805,26
54,1,426.39,JPY,2025-08-12 22:22:17,,111,721,141232,15
55,1,225.03,CNY,2025-08-23 07:07:17,,540,428,605038,61
56,1,210.11,USD,2025-06-20 13:55:17,,577,700,807447,81
57,1,167.05,JPY,2025-06-07 20:10:17,,806,728,764805,77
58,1,196.04,JPY,2025-06-22 20:02:17,,75,844,890890,90
59,1,403.94,AUD,2025-08-03 08:31:17,Reveal send town establish party rate.,497,667,814634,82
60,1,424.96,JPY,2025-06-10 10:21:17,,245,35,910068,92
61,1,290.47,AUD,2025-05-17 15:06:17,,912,354,275213,28
62,1,259.27,CNY,2025-05-10 12:14:17,Those particular future green book need available toward election.,126,841,350934,36
63,1,16.35,AUD,2025-07-05 17:12:17,,304,337,640985,65
64,1,135.33,AUD,2025-06-22 15:52:17,,688,976,303172,31
65,1,307.56,JPY,2025-05-28 15:08:17,,765,511,330423,34
66,1,302.75,USD,2025-06-12 21:00:17,Likely since network dark size arrive whom bill.,84,484,206737,21
67,1,230.81,EUR,2025-07-04 07:23:17,,438,376,92214,10
68,1,14.41,AUD,2025-06-17 23:02:17,,620,540,164809,17
69,1,448.13,USD,2025-07-29 03:52:17,,71,832,341677,35
70,1,199.36,JPY,2025-05-29 19:30:17,,752,402,524001,53
71,1,423.53,AUD,2025-07-31 08:55:17,,728,200,301747,31
72,1,331.03,EUR,2025-06-17 14:15:17,,609,205,177257,18
73,1,319.93,EUR,2025-07-28 07:07:17,,728,68,17070,2
74,1,40.40,EUR,2025-08-04 06:16:17,Professional resource vote realize learn job pay manager fine foot.,673,647,324447,33
75,1,164.68,JPY,2025-05-12 08:56:17,,778,174,533574,54
76,1,456.06,USD,2025-08-18 10:50:17,,29,54,975456,98
77,1,24.84,EUR,2025-07-20 22:02:17,,525,462,406481,41
78,1,64.48,CNY,2025-06-05 18:10:17,,150,352,230910,24
79,1,402.17,USD,2025-08-05 05:47:17,,720,707,261996,27
80,1,300.72,JPY,2025-05-28 03:01:17,,456,12,605179,61
81,1,248.83,EUR,2025-06-26 18:45:17,,75,515,586941,59
82,1,235.15,AUD,2025-08-25 17:08:17,,496,814,930101,94
83,1,148.99,CNY,2025-07-23 05:41:17,,626,519,191291,20
84,1,467.28,USD,2025-08-03 11:16:17,,990,450,276021,28
85,1,354.92,CNY,2025-08-19 20:48:17,,8,604,287469,29
86,1,215.49,EUR,2025-06-22 15:23:17,,340,662,667525,67
87,1,312.22,CNY,2025-06-07 01:54:17,,509,616,108771,11
88,1,354.98,AUD,2025-08-29 01:29:17,,47,691,590531,60
89,1,167.33,CNY,2025-06-29 06:22:17,,273,925,266804,27
90,1,48.28,AUD,2025-05-16 09:10:17,Shake north hotel many we read work forward.,428,125,976675,98
91,1,221.21,EUR,2025-06-11 22:28:17,,981,588,386516,39
92,1,12.57,JPY,2025-07-28 10:04:17,,876,880,761993,77
93,1,335.52,JPY,2025-05-21 08:07:17,,583,847,102079,11
94,1,440.00,USD,2025-07-11 12:41:17,,69,506,824080,83
95,1,281.20,JPY,2025-07-18 09:53:17,,955,205,836162,84
96,1,229.62,CNY,2025-06-21 07:32:17,,328,946,620347,63
97,1,465.78,AUD,2025-05-27 14:32:17,,345,359,934391,94
98,1,167.81,AUD,2025-08-29 05:06:17,,194,665,376849,38
99,1,113.69,CNY,2025-07-03 22:51:17,,547,621,992660,100
100,1,255.21,JPY,2025-07-26 08:53:17,,767,374,22096,3
101,1,352.40,USD,2025-05-19 07:24:17,,536,442,736942,74
102,1,51.29,JPY,2025-05-20 07:09:17,,748,763,190456,20
103,1,26.33,USD,2025-07-14 04:39:17,Send part guy view need write contain stop worker college.,356,231,984661,99
104,1,188.81,USD,2025-06-27 21:29:17,,757,139,989192,99
105,1,197.15,AUD,2025-07-24 12:39:17,,693,568,699931,70
106,1,467.71,JPY,2025-08-12 19:51:17,Talk center resource condition shoulder factor.,380,275,279235,28
107,1,57.30,USD,2025-08-20 01:53:17,,686,175,537275,54
108,1,352.92,JPY,2025-08-19 07:45:17,,997,227,512064,52
109,1,330.92,JPY,2025-08-16 18:23:17,,517,479,171962,18
110,1,97.02,JPY,2025-06-23 08:35:17,,385,404,312395,32
111,1,213.69,JPY,2025-08-07 21:15:17,Book future small old clearly other worker which.,794,668,358609,36
112,1,60.86,JPY,2025-08-01 21:35:17,,198,647,45638,5
113,1,96.19,USD,2025-05-05 03:29:17,,525,628,277639,28
114,1,317.90,JPY,2025-07-20 00:48:17,,906,439,264789,27
115,1,447.08,USD,2025-06-30 01:47:17,,490,46,926663,93
116,1,479.37,USD,2025-08-19 06:26:17,,168,451,627798,63
117,1,14.26,CNY,2025-07-03 04:35:17,,732,331,677639,68
118,1,410.96,CNY,2025-06-17 12:53:17,,920,849,485264,49
119,1,282.23,JPY,2025-07-04 07:59:17,,376,222,973186,98
120,1,360.88,JPY,2025-06-15 20:59:17,,295,101,852322,86
121,1,271.41,JPY,2025-07-30 22:47:17,Capital enough Congress finally development finish.,382,282,813634,82
122,1,41.24,JPY,2025-05-18 04:52:17,,437,961,929058,93
123,1,466.74,USD,2025-08-03 03:59:17,This raise how article in begin must base would.,913,602,248360,25
124,1,446.51,EUR,2025-08-06 11:31:17,,305,702,319572,32
125,1,160.49,CNY,2025-07-08 00:41:17,Second woman occur age government.,514,744,779549,78
126,1,435.77,USD,2025-08-11 12:27:17,Forget top case boy watch event west family between fly.,220,104,245106,25
127,1,414.81,CNY,2025-05-24 22:59:17,Teach participant more keep general voice hour board one heart.,532,665,227605,23
128,1,140.11,CNY,2025-06-29 08:29:17,,562,699,540488,55
129,1,147.99,AUD,2025-06-27 06:51:17,,739,440,973934,98
130,1,329.63,JPY,2025-07-31 06:57:17,,866,997,86183,9
131,1,269.58,EUR,2025-05-29 22:51:17,,66,480,856388,86
132,1,107.33,JPY,2025-05-25 08:32:17,,659,118,906382,91
133,1,205.00,AUD,2025-05-03 10:54:17,Box spend war also back not reason wide.,979,583,420386,43
134,1,377.84,USD,2025-07-18 22:49:17,,744,956,669284,67
135,1,333.01,CNY,2025-05-09 13:05:17,,478,445,394815,40
136,1,208.92,AUD,2025-05-24 10:41:17,,983,1,360347,37
137,1,254.32,JPY,2025-05-14 18:43:17,,986,358,165177,17
138,1,92.15,EUR,2025-08-10 02:48:17,,364,146,305272,31
139,1,237.64,CNY,2025-08-11 05:40:17,,886,450,459145,46
140,1,169.29,EUR,2025-07-20 02:19:17,,76,396,329673,33
141,1,164.64,EUR,2025-08-06 05:13:17,,376,427,999767,100
142,1,247.62,EUR,2025-08-07 20:32:17,,764,870,549033,55
143,1,220.23,CNY,2025-05-26 10:48:17,,123,528,326208,33
144,1,398.45,AUD,2025-07-12 22:05:17,,609,530,299168,30
145,1,230.40,AUD,2025-05-23 10:19:17,,58,867,963014,97
146,1,460.80,EUR,2025-06-29 10:45:17,,453,795,83966,9
147,1,450.38,CNY,2025-05-10 13:48:17,,794,254,528917,53
148,1,291.76,AUD,2025-05-09 04:56:17,,737,383,755532,76
149,1,255.47,AUD,2025-07-12 02:07:17,,747,417,716602,72
150,1,361.61,USD,2025-07-30 21:49:17,,363,137,920493,93
151,1,354.68,USD,2025-08-11 08:34:17,,146,630,98225,10
152,1,309.64,AUD,2025-05-20 05:44:17,Expert black water rest follow decide respond send.,238,438,666577,67
153,1,385.86,JPY,2025-07-07 15:40:17,,58,822,850183,86
154,1,400.24,EUR,2025-05-25 04:42:17,,477,901,356745,36
155,1,480.81,EUR,2025-07-28 05:10:17,,277,127,790575,80
156,1,233.64,JPY,2025-08-05 09:04:17,,305,720,141944,15
157,1,492.91,CNY,2025-05-25 02:11:17,,754,6,432900,44
158,1,71.80,AUD,2025-05-11 13:22:17,,902,61,807686,81
159,1,144.96,AUD,2025-08-26 18:47:17,,304,682,644667,65
160,1,100.02,CNY,2025-05-05 12:31:17,,12,944,919009,92
161,1,356.89,AUD,2025-08-20 09:36:17,,91,352,118747,12
162,1,227.55,AUD,2025-05-21 11:37:17,Hour century onto final agree shoulder question.,588,765,283667,29
163,1,77.03,EUR,2025-06-27 12:44:17,,563,632,682552,69
164,1,105.25,USD,2025-05-07 07:41:17,,363,468,736095,74
165,1,414.18,CNY,2025-07-30 09:03:17,,104,677,819290,82
166,1,385.14,CNY,2025-07-26 02:46:17,,516,284,423436,43
167,1,340.60,JPY,2025-07-09 21:40:17,,418,638,316372,32
168,1,73.11,JPY,2025-06-21 19:06:17,,70,393,399955,40
169,1,385.68,JPY,2025-06-11 11:29:17,,319,502,151607,16
170,1,355.49,CNY,2025-06-24 16:14:17,,306,214,353133,36
171,1,73.78,USD,2025-07-25 07:13:17,,237,546,733180,74
172,1,434.35,CNY,2025-06-12 15:05:17,,574,572,424795,43
173,1,227.90,EUR,2025-05-29 16:01:17,,813,254,529367,53
174,1,465.41,CNY,2025-06-27 21:24:17,,671,586,813310,82
175,1,229.58,AUD,2025-08-01 20:01:17,,578,238,195844,20
176,1,281.66,USD,2025-06-08 19:35:17,,602,948,696273,70
177,1,146.20,AUD,2025-05-08 21:53:17,,565,661,990103,100
178,1,272.09,EUR,2025-05-09 09:19:17,Hair who occur least animal bit rest head now rich.,52,17,202811,21
179,1,85.08,EUR,2025-06-25 07:45:17,,21,927,496690,50
180,1,348.45,USD,2025-06-08 00:20:17,,119,954,277422,28
181,1,285.51,EUR,2025-05-14 11:14:17,,873,765,4015,1
182,1,199.87,CNY,2025-07-17 16:28:17,,484,262,873902,88
183,1,485.33,JPY,2025-05-26 05:45:17,,889,490,633545,64
184,1,360.94,CNY,2025-05-11 18:13:17,,616,51,551479,56
185,1,239.26,AUD,2025-08-28 00:12:17,,827,583,17413,2
186,1,194.23,USD,2025-05-18 02:11:17,,324,701,596264,60
187,1,176.40,USD,2025-06-30 17:41:17,,766,127,79364,8
188,1,349.81,JPY,2025-05-09 12:02:17,,166,881,307913,31
189,1,218.45,JPY,2025-07-10 00:39:17,Quite measure development traditional nation so skill eight develop.,813,781,806702,81
190,1,383.26,AUD,2025-05-12 01:59:17,,622,484,183534,19
191,1,276.80,AUD,2025-08-01 18:19:17,,790,308,308314,31
192,1,429.27,CNY,2025-06-30 22:57:17,,831,326,733151,74
193,1,92.51,CNY,2025-06-29 22:38:17,,597,6,952110,96
194,1,225.64,USD,2025-06-11 14:36:17,,470,869,137541,14
195,1,382.09,EUR,2025-08-09 06:29:17,,57,892,393449,40
196,1,16.45,USD,2025-05-30 03:17:17,,692,502,547269,55
197,1,148.54,JPY,2025-08-07 14:20:17,,624,989,83792,9
198,1,429.68,JPY,2025-07-04 10:30:17,,578,4,974734,98
199,1,180.14,CNY,2025-08-24 19:56:17,,919,205,484629,49
200,1,387.07,CNY,2025-06-26 00:30:17,,754,70,740153,75
201,1,274.34,CNY,2025-05-31 14:47:17,,335,598,425973,43
202,1,173.99,JPY,2025-08-03 00:40:17,,229,756,44416,5
203,1,310.14,JPY,2025-07-28 16:06:17,,999,619,437649,44
204,1,164.24,AUD,2025-06-12 11:00:17,,393,933,396478,40
205,1,118.43,AUD,2025-06-05 01:33:17,,920,551,287283,29
206,1,87.38,AUD,2025-05-25 21:37:17,,837,991,594949,60
207,1,161.00,CNY,2025-06-22 15:35:17,,459,823,724657,73
208,1,479.27,JPY,2025-08-15 14:01:17,,255,672,488086,49
209,1,53.87,AUD,2025-07-18 02:05:17,,800,191,161452,17
210,1,258.05,AUD,2025-08-02 09:09:17,,516,994,724399,73
211,1,441.89,CNY,2025-07-31 15:06:17,,560,135,419495,42
212,1,230.08,JPY,2025-06-28 09:53:17,,824,482,938119,94
213,1,91.88,EUR,2025-05-08 19:32:17,,700,201,902908,91
214,1,495.04,USD,2025-07-26 18:34:17,,999,309,707033,71
215,1,175.28,JPY,2025-05-28 15:20:17,,124,622,697403,70
216,1,319.99,JPY,2025-07-13 16:11:17,,960,58,589475,59
217,1,363.55,JPY,2025-08-04 21:30:17,,881,470,419497,42
218,1,195.12,CNY,2025-06-01 09:55:17,,911,665,887098,89
219,1,317.46,JPY,2025-06-27 19:45:17,,652,805,353359,36
220,1,344.34,CNY,2025-07-22 23:47:17,,872,76,2741,1
221,1,350.08,CNY,2025-07-13 12:42:17,,125,774,710703,72
222,1,444.76,EUR,2025-08-30 06:09:17,,683,233,116506,12
223,1,356.98,CNY,2025-05-05 05:58:17,Indicate student explain wide can set through.,952,71,985055,99
224,1,89.60,EUR,2025-05-17 13:00:17,,144,256,958155,96
225,1,259.02,EUR,2025-05-13 08:05:17,,684,974,361437,37
226,1,45.48,CNY,2025-07-12 01:31:17,,899,174,722656,73
227,1,489.82,EUR,2025-06-01 13:05:17,,123,516,46252,5
228,1,214.00,USD,2025-06-11 19:19:17,,153,342,48619,5
229,1,438.42,USD,2025-06-08 20:17:17,,970,875,368682,37
230,1,356.03,AUD,2025-05-19 15:30:17,,209,244,814149,82
231,1,271.64,USD,2025-06-23 23:58:17,,271,58,784162,79
232,1,282.65,USD,2025-05-23 13:58:17,,770,305,314688,32
233,1,387.79,JPY,2025-05-14 12:15:17,,441,170,507438,51
234,1,70.81,AUD,2025-05-19 10:31:17,,224,758,218603,22
235,1,366.00,EUR,2025-06-22 08:34:17,,899,536,645431,65
236,1,31.73,CNY,2025-08-06 18:29:17,,573,13,278921,28
237,1,55.84,AUD,2025-06-06 15:56:17,,664,960,249383,25
238,1,157.33,JPY,2025-08-08 23:50:17,,680,102,817945,82
239,1,304.76,JPY,2025-07-16 01:37:17,,488,459,294056,30
240,1,418.29,EUR,2025-06-05 06:42:17,,86,31,95293,10
241,1,97.72,USD,2025-05-15 16:43:17,,11,293,401899,41
242,1,352.19,JPY,2025-07-29 23:48:17,,527,563,935001,94
243,1,195.47,USD,2025-05-12 23:18:17,,611,663,875728,88
244,1,22.62,EUR,2025-06-28 20:04:17,,656,897,116614,12
245,1,371.84,CNY,2025-08-30 21:23:17,,183,393,349432,35
246,1,258.54,AUD,2025-08-19 08:30:17,Claim too actually film interest keep author floor truth market.,961,813,280791,29
247,1,135.36,CNY,2025-07-02 19:49:17,,938,236,242727,25
248,1,390.59,USD,2025-07-24 04:15:17,,803,112,810546,82
249,1,400.48,AUD,2025-05-07 18:38:17,,763,426,608396,61
250,1,347.54,AUD,2025-07-31 14:43:17,,915,532,391092,40
251,1,25.19,JPY,2025-07-15 08:15:17,,441,841,698339,70
252,1,136.73,JPY,2025-08-18 16:11:17,,265,92,895210,90
253,1,492.19,JPY,2025-06-01 03:57:17,His upon detail would able wide wide trip.,937,906,668181,67
254,1,406.51,EUR,2025-08-27 19:07:17,,920,250,360335,37
255,1,451.34,EUR,2025-07-21 11:20:17,,12,339,114079,12
256,1,206.68,USD,2025-07-08 04:06:17,,11,197,14283,2
257,1,263.42,JPY,2025-08-20 14:17:17,,266,759,754699,76
258,1,122.65,EUR,2025-07-03 23:30:17,,5,371,703112,71
259,1,304.14,USD,2025-06-17 17:24:17,With maybe sport Congress stand college teach.,183,356,667187,67
260,1,204.95,AUD,2025-05-03 04:58:17,,317,337,639049,64
261,1,392.44,JPY,2025-08-25 04:51:17,,18,922,42492,5
262,1,275.86,CNY,2025-05-13 04:28:17,,108,791,552239,56
263,1,40.21,USD,2025-05-10 21:51:17,,446,538,476959,48
264,1,346.31,JPY,2025-06-11 20:31:17,,72,92,463437,47
265,1,250.26,USD,2025-06-02 15:43:17,Range simply force speak two point raise doctor husband.,989,934,780601,79
266,1,390.87,AUD,2025-05-26 18:25:17,,576,630,388417,39
267,1,452.80,USD,2025-06-26 03:39:17,,931,7,325292,33
268,1,218.28,CNY,2025-08-17 12:00:17,,926,309,554354,56
269,1,448.07,EUR,2025-08-20 07:00:17,Such mission bit major myself instead across usually think executive.,411,561,926403,93
270,1,73.95,USD,2025-07-20 00:49:17,Increase soon now poor at care town arm pass wear.,459,674,161173,17
271,1,49.36,USD,2025-06-06 07:55:17,,789,119,606882,61
272,1,493.48,JPY,2025-08-23 20:59:17,,840,494,359564,36
273,1,124.89,AUD,2025-07-28 23:51:17,,719,629,211750,22
274,1,246.58,CNY,2025-06-28 06:16:17,,355,832,100571,11
275,1,218.07,CNY,2025-06-19 18:14:17,,835,454,590906,60
276,1,245.86,CNY,2025-06-05 12:03:17,,726,253,525063,53
277,1,59.31,USD,2025-08-28 15:01:17,Offer religious small fact boy final.,12,147,691996,70
278,1,396.70,EUR,2025-05-31 11:10:17,,470,887,896783,90
279,1,431.44,EUR,2025-05-23 03:44:17,,274,732,695856,70
280,1,162.61,CNY,2025-05-09 18:32:17,Find soldier myself share individual interview open shoulder activity once yet.,498,626,278082,28
281,1,101.25,USD,2025-06-21 17:24:17,Born administration industry eat account clear start majority PM.,929,627,431828,44
282,1,246.13,CNY,2025-07-23 09:28:17,,72,1000,732032,74
283,1,307.35,JPY,2025-05-23 00:46:17,,483,708,977716,98
284,1,394.33,USD,2025-05-26 01:54:17,,796,769,449527,45
285,1,204.04,EUR,2025-05-10 06:55:17,,678,287,742671,75
286,1,431.91,AUD,2025-06-06 11:17:17,,926,169,22934,3
287,1,467.45,JPY,2025-05-07 00:27:17,,219,374,80980,9
288,1,479.58,CNY,2025-05-27 00:28:17,,832,345,780339,79
289,1,302.54,CNY,2025-07-13 04:02:17,,437,929,391864,40
290,1,339.34,JPY,2025-08-05 05:19:17,,317,384,977211,98
291,1,336.97,AUD,2025-06-17 10:43:17,,133,100,111665,12
292,1,267.92,EUR,2025-08-29 13:12:17,,719,7,470875,48
293,1,314.33,EUR,2025-05-09 04:53:17,,486,715,408138,41
294,1,66.88,JPY,2025-08-18 15:29:17,,853,603,133992,14
295,1,442.90,JPY,2025-05-31 21:49:17,,638,621,161116,17
296,1,286.60,AUD,2025-08-26 00:05:17,,484,142,844263,85
297,1,132.80,CNY,2025-08-31 13:45:17,,162,558,691083,70
298,1,493.94,USD,2025-07-05 13:27:17,,124,313,317845,32
299,1,426.04,JPY,2025-05-19 07:30:17,,989,728,23731,3
300,1,482.52,CNY,2025-08-07 17:13:17,,303,645,747717,75
301,1,338.22,USD,2025-05-16 17:24:17,,250,355,451903,46
302,1,377.56,JPY,2025-07-29 03:33:17,,759,107,399756,40
303,1,327.51,USD,2025-08-01 10:55:17,,417,619,842010,85
304,1,494.06,AUD,2025-06-15 07:01:17,,427,801,609381,61
305,1,489.91,JPY,2025-08-09 21:27:17,,785,234,623417,63
306,1,300.02,JPY,2025-06-20 03:57:17,,2,388,896848,90
307,1,327.44,JPY,2025-08-12 16:22:17,,133,943,299193,30
308,1,187.18,CNY,2025-07-25 20:32:17,,432,940,522891,53
309,1,315.92,USD,2025-05-07 13:05:17,,46,408,178753,18
310,1,489.40,CNY,2025-08-29 14:29:17,,538,288,783690,79
311,1,436.46,JPY,2025-07-21 02:51:17,,962,161,128013,13
312,1,391.82,EUR,2025-05-19 10:45:17,,651,891,882245,89
313,1,19.41,EUR,2025-06-30 09:21:17,,871,334,935974,94
314,1,230.61,USD,2025-05-04 10:33:17,,898,747,177239,18
315,1,48.40,JPY,2025-08-23 16:32:17,,798,841,20259,3
316,1,88.77,USD,2025-06-16 17:10:17,,113,995,28848,3
317,1,229.85,JPY,2025-06-14 14:05:17,,730,55,614008,62
318,1,266.11,AUD,2025-05-15 23:09:17,,337,524,637042,64
319,1,444.47,USD,2025-05-16 16:52:17,,414,869,35138,4
320,1,343.27,CNY,2025-06-02 19:06:17,,595,182,594764,60
321,1,281.99,EUR,2025-08-14 21:29:17,Training high get ask identify expect fine series level.,647,309,596571,60
322,1,426.07,JPY,2025-07-29 03:25:17,Also industry foot role his area.,592,35,508495,51
323,1,156.85,JPY,2025-06-08 02:53:17,,119,136,942955,95
324,1,412.12,USD,2025-07-21 10:03:17,,275,23,774810,78
325,1,352.17,USD,2025-07-06 14:50:17,,65,766,5781,1
326,1,433.13,CNY,2025-07-08 16:10:17,,356,105,100900,11
327,1,334.29,JPY,2025-06-02 01:33:17,,338,903,693978,70
328,1,157.12,JPY,2025-06-30 20:45:17,,831,558,443451,45
329,1,242.16,JPY,2025-07-11 06:02:17,,150,676,828147,83
330,1,491.70,JPY,2025-08-02 18:34:17,,360,367,953013,96
331,1,146.25,AUD,2025-06-27 15:05:17,,381,106,213762,22
332,1,229.15,AUD,2025-06-08 04:13:17,,517,450,709574,71
333,1,324.46,CNY,2025-06-15 08:55:17,,31,799,638233,64
334,1,154.88,JPY,2025-06-12 23:48:17,Next at city event door situation poor determine.,914,433,274222,28
335,1,343.23,AUD,2025-05-29 10:16:17,,682,690,292942,30
336,1,175.59,CNY,2025-07-28 13:24:17,,793,744,335202,34
337,1,224.92,USD,2025-05-26 05:08:17,,612,337,599628,60
338,1,340.74,CNY,2025-07-22 01:44:17,,54,844,926579,93
339,1,48.28,EUR,2025-05-21 03:44:17,Age fire level music tonight relationship front world participant authority.,858,371,146871,15
340,1,38.57,USD,2025-05-12 14:41:17,,931,430,720090,73
341,1,116.63,AUD,2025-07-04 23:53:17,Seven open type station prepare civil suddenly front old recognize.,436,748,317523,32
342,1,199.89,AUD,2025-06-02 11:08:17,,430,572,301644,31
343,1,93.30,EUR,2025-07-27 11:56:17,,954,574,325601,33
344,1,224.77,AUD,2025-06-12 08:33:17,,753,841,984316,99
345,1,163.90,EUR,2025-07-13 01:49:17,,395,316,799136,80
346,1,457.37,USD,2025-05-05 05:21:17,,325,632,906035,91
347,1,253.36,JPY,2025-05-03 13:41:17,Former wind audience partner difficult.,96,940,886579,89
348,1,292.11,CNY,2025-05-31 23:49:17,,440,119,953631,96
349,1,453.53,CNY,2025-07-01 15:07:17,,2,643,766356,77
350,1,413.89,JPY,2025-05-18 20:51:17,,257,897,645788,65
351,1,275.48,USD,2025-07-29 09:35:17,Rock step week happen my second national national plant that.,172,325,368054,37
352,1,133.87,JPY,2025-08-24 07:12:17,,184,849,542364,55
353,1,277.56,JPY,2025-07-08 06:26:17,,53,779,392670,40
354,1,394.18,USD,2025-06-03 11:19:17,,552,883,600093,61
355,1,242.54,AUD,2025-06-29 08:24:17,,896,555,749631,75
356,1,332.11,USD,2025-07-24 04:10:17,,142,165,308917,31
357,1,147.29,EUR,2025-08-08 01:52:17,,794,708,411759,42
358,1,236.95,AUD,2025-06-13 03:23:17,,450,26,619063,62
359,1,46.80,JPY,2025-08-24 22:22:17,,86,989,14657,2
360,1,43.68,EUR,2025-05-17 12:07:17,,632,169,300237,31
361,1,470.28,USD,2025-08-12 17:29:17,,619,835,890625,90
362,1,258.15,JPY,2025-07-18 11:50:17,,782,249,679518,68
363,1,299.49,JPY,2025-07-10 20:23:17,,476,921,442309,45
364,1,272.21,EUR,2025-07-08 17:42:17,,326,246,298542,30
365,1,146.82,JPY,2025-05-30 17:47:17,,262,48,558875,56
366,1,152.51,JPY,2025-08-21 03:51:17,,942,731,435761,44
367,1,492.00,CNY,2025-07-22 19:57:17,,725,928,702908,71
368,1,327.82,AUD,2025-06-06 20:48:17,,620,991,478099,48
369,1,313.55,AUD,2025-08-17 01:48:17,,149,108,82064,9
370,1,63.06,JPY,2025-05-31 08:55:17,,479,515,558621,56
371,1,166.94,JPY,2025-06-10 04:24:17,,103,558,224318,23
372,1,398.03,CNY,2025-07-18 13:51:17,,436,953,546201,55
373,1,480.75,EUR,2025-08-21 21:55:17,,78,725,767781,77
374,1,16.64,JPY,2025-08-10 10:43:17,,798,297,511117,52
375,1,495.91,CNY,2025-05-15 09:34:17,,278,22,934923,94
376,1,269.62,JPY,2025-05-09 00:35:17,,28,686,80764,9
377,1,357.73,AUD,2025-08-10 12:19:17,,695,881,449240,45
378,1,261.04,EUR,2025-07-15 05:00:17,,854,535,989560,99
379,1,76.59,JPY,2025-05-03 14:41:17,,766,507,318842,32
380,1,263.89,USD,2025-07-11 04:09:17,,528,454,978802,98
